id_cliente,region,pais,producto,canal,prioridad,fecha_pedido,fecha_entrega,cantidad,precio_unitario,costo_unitario,descuento,total_venta,total_costo
TCS_054,Centro,Colombia,Gaming,Marketplace,Premium,2024-01-20,2024-01-21,1,540.58,399.57,0.0,540.58,399.57
TCS_055,Norte,Estados Unidos,Audio,Físico,Premium,2024-01-12,2024-01-14,2,450.62,311.44,0.0,901.24,622.88
TCS_056,Sur,Perú,Gaming,Móvil,Express,2024-11-11,2024-11-14,1,352.24,229.66,0.0,352.24,229.66
TCS_057,Centro,Colombia,Smartphones,Web,Estándar,2024-07-30,2024-08-06,1,330.09,258.19,47.86,282.23,258.19
TCS_058,Norte,Canadá,Smartphones,Móvil,Express,2024-11-07,2024-11-10,2,236.17,142.95,0.0,472.34,285.9
TCS_059,Norte,Estados Unidos,Smartphones,Marketplace,Estándar,2024-10-08,2024-10-11,2,873.7,670.71,0.0,1747.4,1341.42
TCS_060,Centro,Panamá,Smartphones,Web,Premium,2024-01-06,2024-01-08,2,999.77,799.14,0.0,1999.54,1598.28
TCS_061,Norte,México,Wearables,Móvil,Express,2024-03-23,2024-03-25,1,145.61,94.69,0.0,145.61,94.69
TCS_062,Sur,Argentina,Smartphones,Físico,Express,2024-12-13,2024-12-17,1,737.26,519.08,75.21,662.05,519.08
TCS_063,Norte,Estados Unidos,Gaming,Web,Express,2024-08-09,2024-08-13,1,193.81,117.4,21.71,172.1,117.4
TCS_064,Sur,Brasil,Audio,Marketplace,Express,2024-07-10,2024-07-13,1,315.46,214.02,0.0,315.46,214.02
TCS_065,Centro,Venezuela,Gaming,Web,Express,2024-11-30,2024-12-03,1,703.65,555.82,0.0,703.65,555.82
TCS_066,Norte,Estados Unidos,Smartphones,Físico,Estándar,2024-02-03,2024-02-10,1,367.3,262.96,0.0,367.3,262.96
TCS_067,Centro,Colombia,Audio,Móvil,Estándar,2024-07-13,2024-07-18,1,487.9,351.48,0.0,487.9,351.48
TCS_068,Norte,México,Laptops,Físico,Express,2024-11-12,2024-11-15,1,593.02,410.46,0.0,593.02,410.46
TCS_069,Sur,Argentina,Laptops,Web,Premium,2024-03-13,2024-03-15,1,1404.64,865.75,199.58,1205.06,865.75
TCS_070,Norte,México,Laptops,Físico,Estándar,2024-01-08,2024-01-11,1,1978.01,1399.08,145.6,1832.41,1399.08
TCS_071,Centro,Venezuela,Laptops,Web,Express,2024-01-14,2024-01-18,1,1541.36,1200.78,0.0,1541.36,1200.78
TCS_072,Centro,Colombia,Laptops,Móvil,Express,2024-08-14,2024-08-18,1,830.79,561.16,0.0,830.79,561.16
TCS_073,Norte,México,Laptops,Móvil,Estándar,2024-05-24,2024-05-31,1,1486.56,1126.57,0.0,1486.56,1126.57
TCS_074,Centro,Panamá,Laptops,Marketplace,Estándar,2024-08-23,2024-08-28,1,939.91,733.06,0.0,939.91,733.06
TCS_075,Centro,Panamá,Wearables,Móvil,Estándar,2024-10-15,2024-10-22,1,128.91,83.69,0.0,128.91,83.69
TCS_076,Centro,Venezuela,Smartphones,Marketplace,Premium,2024-08-30,2024-08-31,1,985.9,613.63,0.0,985.9,613.63
TCS_077,Centro,Panamá,Smartphones,Móvil,Express,2024-03-02,2024-03-04,1,628.03,436.68,44.28,583.75,436.68
TCS_078,Sur,Chile,Gaming,Marketplace,Estándar,2024-01-20,2024-01-23,1,595.06,448.41,0.0,595.06,448.41
TCS_079,Sur,Brasil,Gaming,Web,Premium,2024-09-15,2024-09-16,1,417.99,296.66,0.0,417.99,296.66
TCS_080,Sur,Argentina,Laptops,Físico,Estándar,2024-11-14,2024-11-21,1,586.71,407.55,0.0,586.71,407.55
TCS_081,Centro,Venezuela,Smartphones,Web,Express,2024-08-23,2024-08-26,1,784.69,618.08,0.0,784.69,618.08
TCS_082,Centro,Colombia,Gaming,Físico,Estándar,2024-11-23,2024-11-28,1,241.14,152.58,0.0,241.14,152.58
TCS_083,Norte,Canadá,Audio,Móvil,Express,2024-03-02,2024-03-04,2,226.6,172.97,0.0,453.2,345.94
TCS_084,Sur,Perú,Audio,Web,Express,2024-12-18,2024-12-22,1,309.87,207.95,0.0,309.87,207.95
TCS_085,Sur,Chile,Wearables,Físico,Premium,2024-02-08,2024-02-09,1,186.5,139.15,0.0,186.5,139.15
TCS_086,Centro,Panamá,Wearables,Web,Express,2024-08-18,2024-08-22,1,128.54,85.14,0.0,128.54,85.14
TCS_087,Centro,Colombia,Gaming,Móvil,Express,2024-01-10,2024-01-12,2,339.46,259.43,0.0,678.92,518.86
TCS_088,Norte,Canadá,Wearables,Físico,Estándar,2024-06-05,2024-06-11,1,310.41,226.05,0.0,310.41,226.05
TCS_089,Sur,Brasil,Audio,Web,Premium,2024-09-10,2024-09-12,1,152.31,104.29,0.0,152.31,104.29
TCS_090,Centro,Venezuela,Wearables,Físico,Express,2024-07-28,2024-07-30,1,312.35,224.45,0.0,312.35,224.45
TCS_091,Norte,México,Laptops,Web,Premium,2024-02-20,2024-02-21,1,1744.7,1364.59,0.0,1744.7,1364.59
TCS_092,Norte,México,Laptops,Móvil,Express,2024-11-08,2024-11-10,2,1230.14,883.55,0.0,2460.28,1767.1
TCS_093,Norte,México,Smartphones,Móvil,Estándar,2024-04-26,2024-04-30,1,518.53,366.85,43.89,474.64,366.85
TCS_094,Sur,Brasil,Laptops,Marketplace,Estándar,2024-05-07,2024-05-12,1,1860.4,1208.6,0.0,1860.4,1208.6
TCS_095,Sur,Argentina,Smartphones,Web,Estándar,2024-03-03,2024-03-08,1,210.48,154.22,0.0,210.48,154.22
TCS_096,Norte,México,Gaming,Móvil,Express,2024-03-03,2024-03-05,1,309.72,205.03,0.0,309.72,205.03
TCS_097,Centro,Panamá,Audio,Móvil,Express,2024-10-11,2024-10-13,1,262.43,187.1,0.0,262.43,187.1
TCS_098,Sur,Brasil,Laptops,Móvil,Express,2024-04-22,2024-04-25,1,1624.57,1008.2,0.0,1624.57,1008.2
TCS_099,Centro,Panamá,Audio,Físico,Express,2024-06-10,2024-06-12,1,120.27,89.38,0.0,120.27,89.38
TCS_100,Norte,México,Audio,Físico,Premium,2024-09-11,2024-09-12,1,202.67,144.68,21.42,181.25,144.68
TCS_101,Sur,Brasil,Audio,Físico,Estándar,2024-06-30,2024-07-07,1,195.8,120.88,0.0,195.8,120.88
TCS_102,Norte,Canadá,Wearables,Marketplace,Estándar,2024-02-05,2024-02-12,1,365.65,279.17,0.0,365.65,279.17
TCS_103,Sur,Brasil,Laptops,Marketplace,Premium,2024-04-28,2024-04-30,2,952.31,718.77,0.0,1904.62,1437.54
TCS_104,Norte,Canadá,Gaming,Móvil,Express,2024-12-29,2024-12-31,2,441.2,343.66,81.64,800.76,687.32
TCS_105,Centro,Colombia,Smartphones,Físico,Express,2024-08-24,2024-08-26,1,311.48,238.9,31.95,279.53,238.9
TCS_106,Norte,Estados Unidos,Wearables,Marketplace,Express,2024-05-25,2024-05-27,2,239.39,146.85,0.0,478.78,293.7
TCS_107,Sur,Chile,Gaming,Marketplace,Estándar,2024-12-27,2025-01-03,1,286.55,213.89,0.0,286.55,213.89
TCS_108,Norte,México,Wearables,Marketplace,Express,2024-06-21,2024-06-23,1,202.6,142.59,0.0,202.6,142.59
TCS_109,Sur,Brasil,Smartphones,Marketplace,Estándar,2024-10-18,2024-10-23,1,511.44,336.39,0.0,511.44,336.39
TCS_110,Norte,Canadá,Audio,Móvil,Express,2024-02-24,2024-02-28,2,110.75,77.17,0.0,221.5,154.34
TCS_111,Centro,Panamá,Audio,Físico,Premium,2024-12-02,2024-12-04,2,119.6,86.67,0.0,239.2,173.34
TCS_112,Norte,México,Smartphones,Web,Estándar,2024-03-01,2024-03-06,1,567.75,349.27,0.0,567.75,349.27
TCS_113,Centro,Venezuela,Laptops,Físico,Premium,2024-04-10,2024-04-12,2,1939.36,1470.04,0.0,3878.72,2940.08
TCS_114,Norte,Canadá,Gaming,Móvil,Premium,2024-09-20,2024-09-21,2,561.15,414.38,84.14,1038.16,828.76
TCS_115,Norte,Canadá,Audio,Móvil,Estándar,2024-12-30,2025-01-03,1,367.51,288.51,0.0,367.51,288.51
TCS_116,Norte,Estados Unidos,Laptops,Marketplace,Express,2024-11-30,2024-12-02,1,708.16,441.22,0.0,708.16,441.22
TCS_117,Norte,Estados Unidos,Gaming,Marketplace,Premium,2024-04-12,2024-04-13,1,355.29,253.01,0.0,355.29,253.01
TCS_118,Centro,Colombia,Audio,Físico,Express,2024-07-01,2024-07-05,1,191.88,135.83,15.71,176.17,135.83
TCS_119,Sur,Argentina,Wearables,Móvil,Express,2024-11-06,2024-11-10,2,86.81,67.27,0.0,173.62,134.54
TCS_120,Centro,Panamá,Gaming,Web,Express,2024-11-13,2024-11-15,1,506.53,331.44,0.0,506.53,331.44
TCS_121,Sur,Argentina,Gaming,Web,Estándar,2024-06-25,2024-06-30,1,307.9,237.26,33.53,274.37,237.26
TCS_122,Norte,México,Smartphones,Marketplace,Estándar,2024-12-09,2024-12-15,1,959.97,726.96,0.0,959.97,726.96
TCS_123,Sur,Brasil,Audio,Móvil,Estándar,2024-08-13,2024-08-16,1,79.24,53.91,5.79,73.45,53.91
TCS_124,Centro,Colombia,Laptops,Marketplace,Express,2024-11-08,2024-11-11,1,1931.63,1478.16,218.23,1713.4,1478.16
TCS_125,Centro,Colombia,Smartphones,Marketplace,Express,2024-08-28,2024-08-30,1,612.2,427.46,85.55,526.65,427.46
TCS_126,Centro,Venezuela,Wearables,Físico,Estándar,2024-03-29,2024-04-01,2,355.24,245.64,0.0,710.48,491.28
TCS_127,Centro,Colombia,Smartphones,Marketplace,Estándar,2024-08-13,2024-08-19,1,463.24,364.25,36.2,427.04,364.25
TCS_128,Centro,Venezuela,Audio,Web,Express,2024-02-06,2024-02-08,2,496.16,303.8,100.83,891.49,607.6
TCS_129,Centro,Venezuela,Audio,Físico,Express,2024-02-09,2024-02-13,2,380.26,267.8,56.68,703.84,535.6
TCS_130,Centro,Panamá,Smartphones,Web,Premium,2024-02-14,2024-02-15,2,284.67,210.6,0.0,569.34,421.2
TCS_131,Norte,Canadá,Wearables,Móvil,Estándar,2024-01-31,2024-02-04,1,187.24,140.19,0.0,187.24,140.19
TCS_132,Sur,Chile,Wearables,Web,Premium,2024-08-11,2024-08-12,1,393.98,286.17,0.0,393.98,286.17
TCS_133,Norte,Canadá,Audio,Móvil,Premium,2024-03-14,2024-03-15,2,203.84,148.09,24.56,383.12,296.18
TCS_134,Sur,Perú,Audio,Físico,Estándar,2024-01-12,2024-01-15,1,205.65,148.93,0.0,205.65,148.93
TCS_135,Sur,Chile,Wearables,Físico,Premium,2024-08-14,2024-08-16,1,87.87,53.11,0.0,87.87,53.11
TCS_136,Centro,Panamá,Audio,Móvil,Premium,2024-01-26,2024-01-28,1,498.71,341.73,0.0,498.71,341.73
TCS_137,Centro,Panamá,Wearables,Web,Premium,2024-10-14,2024-10-16,1,153.62,96.21,22.48,131.14,96.21
TCS_138,Norte,México,Wearables,Marketplace,Express,2024-05-26,2024-05-28,1,179.82,119.43,22.4,157.42,119.43
TCS_139,Centro,Colombia,Smartphones,Físico,Express,2024-09-27,2024-10-01,2,348.42,269.58,88.56,608.28,539.16
TCS_140,Sur,Chile,Gaming,Marketplace,Premium,2024-12-14,2024-12-16,1,738.29,585.83,0.0,738.29,585.83
TCS_141,Centro,Colombia,Smartphones,Móvil,Estándar,2024-06-14,2024-06-17,1,721.22,479.74,0.0,721.22,479.74
TCS_142,Centro,Colombia,Smartphones,Físico,Estándar,2024-09-30,2024-10-04,1,680.02,447.68,0.0,680.02,447.68
TCS_143,Norte,Estados Unidos,Smartphones,Físico,Premium,2024-08-01,2024-08-02,1,393.64,313.86,0.0,393.64,313.86
TCS_144,Sur,Chile,Gaming,Físico,Estándar,2024-07-20,2024-07-24,1,462.4,285.57,0.0,462.4,285.57
TCS_145,Norte,México,Gaming,Móvil,Express,2024-04-12,2024-04-15,2,240.6,177.72,26.04,455.16,355.44
TCS_146,Norte,Canadá,Wearables,Marketplace,Premium,2024-01-09,2024-01-11,1,276.14,182.19,39.97,236.17,182.19
TCS_147,Sur,Perú,Audio,Marketplace,Premium,2024-03-24,2024-03-26,1,417.78,288.46,0.0,417.78,288.46
TCS_148,Norte,Estados Unidos,Audio,Móvil,Express,2024-01-12,2024-01-16,1,265.68,192.13,0.0,265.68,192.13
TCS_149,Sur,Perú,Wearables,Físico,Estándar,2024-04-28,2024-05-05,1,239.42,170.25,17.44,221.98,170.25
TCS_150,Norte,Canadá,Audio,Físico,Express,2024-08-30,2024-09-03,1,238.28,152.67,16.06,222.22,152.67
TCS_151,Norte,Canadá,Laptops,Web,Estándar,2024-01-04,2024-01-10,1,1980.24,1204.03,213.6,1766.64,1204.03
TCS_152,Sur,Argentina,Laptops,Físico,Express,2024-11-30,2024-12-03,1,1448.01,1156.13,0.0,1448.01,1156.13
TCS_153,Norte,Canadá,Wearables,Móvil,Estándar,2024-08-12,2024-08-17,1,209.7,151.06,0.0,209.7,151.06
TCS_154,Sur,Chile,Laptops,Marketplace,Estándar,2024-11-20,2024-11-27,1,555.83,378.52,0.0,555.83,378.52
TCS_155,Centro,Colombia,Gaming,Móvil,Premium,2024-11-21,2024-11-22,1,778.59,507.35,0.0,778.59,507.35
TCS_156,Centro,Colombia,Gaming,Físico,Estándar,2024-10-29,2024-11-03,2,409.42,272.75,0.0,818.84,545.5
TCS_157,Sur,Argentina,Smartphones,Web,Premium,2024-01-01,2024-01-02,1,334.1,202.91,38.88,295.22,202.91
TCS_158,Norte,México,Smartphones,Físico,Premium,2024-07-25,2024-07-27,1,289.54,189.34,0.0,289.54,189.34
TCS_159,Centro,Colombia,Gaming,Móvil,Estándar,2024-01-01,2024-01-06,1,753.71,499.88,0.0,753.71,499.88
TCS_160,Sur,Perú,Laptops,Físico,Estándar,2024-08-29,2024-09-03,1,1922.9,1399.53,183.59,1739.31,1399.53
TCS_161,Centro,Panamá,Laptops,Marketplace,Express,2024-12-05,2024-12-09,1,892.69,661.43,0.0,892.69,661.43
TCS_162,Centro,Venezuela,Wearables,Web,Premium,2024-09-20,2024-09-21,1,357.81,227.36,0.0,357.81,227.36
TCS_163,Centro,Panamá,Laptops,Marketplace,Express,2024-04-23,2024-04-26,1,1790.25,1278.46,0.0,1790.25,1278.46
TCS_164,Norte,Estados Unidos,Gaming,Web,Estándar,2024-05-26,2024-06-02,1,504.03,337.56,0.0,504.03,337.56
TCS_165,Sur,Brasil,Smartphones,Web,Estándar,2024-03-29,2024-04-05,1,653.61,488.7,59.1,594.51,488.7
TCS_166,Sur,Perú,Audio,Móvil,Express,2024-03-22,2024-03-24,1,246.01,187.85,0.0,246.01,187.85
TCS_167,Sur,Brasil,Smartphones,Web,Premium,2024-03-05,2024-03-07,1,650.75,439.96,0.0,650.75,439.96
TCS_168,Norte,México,Smartphones,Marketplace,Express,2024-09-23,2024-09-27,1,714.06,536.88,0.0,714.06,536.88
TCS_169,Norte,Estados Unidos,Laptops,Móvil,Estándar,2024-08-08,2024-08-12,1,638.39,450.27,0.0,638.39,450.27
TCS_170,Centro,Panamá,Laptops,Físico,Premium,2024-01-21,2024-01-22,1,1834.74,1127.0,211.86,1622.88,1127.0
TCS_171,Centro,Panamá,Gaming,Web,Estándar,2024-10-01,2024-10-05,1,532.15,374.96,0.0,532.15,374.96
TCS_172,Norte,Canadá,Gaming,Marketplace,Express,2024-06-06,2024-06-09,1,783.71,599.25,0.0,783.71,599.25
TCS_173,Centro,Panamá,Gaming,Móvil,Premium,2024-06-07,2024-06-08,1,655.39,417.51,60.59,594.8,417.51
TCS_174,Sur,Brasil,Smartphones,Físico,Estándar,2024-12-27,2025-01-01,1,710.39,499.43,0.0,710.39,499.43
TCS_175,Sur,Argentina,Laptops,Físico,Express,2024-04-30,2024-05-02,2,1631.91,1160.82,0.0,3263.82,2321.64
TCS_176,Sur,Perú,Audio,Físico,Premium,2024-07-20,2024-07-21,1,330.74,228.33,0.0,330.74,228.33
TCS_177,Centro,Colombia,Audio,Físico,Express,2024-06-09,2024-06-13,1,130.3,86.32,0.0,130.3,86.32
TCS_178,Centro,Panamá,Laptops,Web,Express,2024-03-17,2024-03-19,1,626.84,410.52,0.0,626.84,410.52
TCS_179,Sur,Brasil,Laptops,Móvil,Estándar,2024-06-15,2024-06-18,1,1986.01,1242.6,0.0,1986.01,1242.6
TCS_180,Sur,Chile,Laptops,Físico,Premium,2024-04-18,2024-04-20,1,1432.46,1030.15,0.0,1432.46,1030.15
TCS_181,Norte,Canadá,Smartphones,Marketplace,Estándar,2024-02-18,2024-02-24,1,840.29,543.45,0.0,840.29,543.45
TCS_182,Sur,Perú,Laptops,Marketplace,Express,2024-10-26,2024-10-28,1,704.52,430.09,0.0,704.52,430.09
TCS_183,Sur,Argentina,Audio,Móvil,Premium,2024-10-12,2024-10-14,1,303.03,239.86,0.0,303.03,239.86
TCS_184,Centro,Panamá,Smartphones,Marketplace,Express,2024-06-06,2024-06-08,2,200.99,132.69,39.19,362.79,265.38
TCS_185,Sur,Argentina,Gaming,Marketplace,Express,2024-01-05,2024-01-07,2,464.67,336.75,0.0,929.34,673.5
TCS_186,Centro,Colombia,Wearables,Físico,Express,2024-08-13,2024-08-15,1,177.0,115.51,0.0,177.0,115.51
TCS_187,Norte,Estados Unidos,Audio,Web,Estándar,2024-11-26,2024-12-01,1,251.24,180.92,0.0,251.24,180.92
TCS_188,Centro,Venezuela,Audio,Marketplace,Express,2024-11-11,2024-11-13,1,275.52,187.2,0.0,275.52,187.2
TCS_189,Norte,Canadá,Laptops,Móvil,Express,2024-05-13,2024-05-17,1,887.49,546.86,0.0,887.49,546.86
TCS_190,Sur,Brasil,Laptops,Marketplace,Express,2024-07-24,2024-07-27,1,1715.97,1075.06,244.14,1471.83,1075.06
TCS_191,Sur,Argentina,Wearables,Físico,Premium,2024-01-25,2024-01-26,1,101.82,61.62,0.0,101.82,61.62
TCS_192,Norte,México,Gaming,Móvil,Estándar,2024-11-11,2024-11-18,1,521.79,351.14,0.0,521.79,351.14
TCS_193,Norte,Canadá,Laptops,Móvil,Estándar,2024-05-09,2024-05-14,1,1391.2,917.46,0.0,1391.2,917.46
TCS_194,Norte,Canadá,Wearables,Web,Express,2024-09-19,2024-09-21,1,398.94,304.31,0.0,398.94,304.31
TCS_195,Norte,Estados Unidos,Laptops,Marketplace,Estándar,2024-04-25,2024-05-02,1,1240.81,864.01,0.0,1240.81,864.01
TCS_196,Norte,Estados Unidos,Wearables,Móvil,Premium,2024-03-02,2024-03-03,1,332.91,238.51,0.0,332.91,238.51
TCS_197,Centro,Colombia,Smartphones,Web,Estándar,2024-08-29,2024-09-05,2,841.23,666.18,0.0,1682.46,1332.36
TCS_198,Centro,Colombia,Gaming,Marketplace,Premium,2024-11-03,2024-11-05,1,441.77,278.32,0.0,441.77,278.32
TCS_199,Sur,Perú,Audio,Web,Estándar,2024-02-11,2024-02-18,2,109.92,68.2,0.0,219.84,136.4
TCS_200,Norte,México,Laptops,Físico,Estándar,2024-04-06,2024-04-10,2,804.89,608.69,160.25,1449.53,1217.38
TCS_201,Centro,Venezuela,Smartphones,Marketplace,Estándar,2024-12-08,2024-12-15,1,789.95,554.9,0.0,789.95,554.9
TCS_202,Norte,México,Audio,Web,Estándar,2024-05-31,2024-06-03,2,381.88,256.11,0.0,763.76,512.22
TCS_203,Centro,Panamá,Audio,Marketplace,Premium,2024-01-28,2024-01-29,1,94.28,69.02,7.21,87.07,69.02
TCS_204,Sur,Brasil,Gaming,Web,Premium,2024-05-15,2024-05-17,1,783.19,574.45,0.0,783.19,574.45
TCS_205,Sur,Perú,Smartphones,Web,Estándar,2024-04-28,2024-05-02,1,300.19,208.59,0.0,300.19,208.59
TCS_206,Norte,México,Gaming,Móvil,Premium,2024-01-10,2024-01-11,1,518.97,321.24,0.0,518.97,321.24
TCS_207,Sur,Perú,Laptops,Web,Express,2024-10-04,2024-10-07,2,1481.57,1035.93,0.0,2963.14,2071.86
TCS_208,Norte,Canadá,Laptops,Físico,Express,2024-04-28,2024-05-02,2,1870.28,1216.52,359.3,3381.26,2433.04
TCS_209,Sur,Perú,Gaming,Físico,Premium,2024-09-12,2024-09-14,1,288.53,204.25,17.54,270.99,204.25
TCS_210,Norte,Canadá,Gaming,Marketplace,Express,2024-04-04,2024-04-08,1,688.49,514.0,0.0,688.49,514.0
TCS_211,Norte,México,Audio,Marketplace,Express,2024-01-19,2024-01-23,1,443.0,322.18,29.24,413.76,322.18
TCS_212,Sur,Chile,Smartphones,Físico,Estándar,2024-01-03,2024-01-06,1,355.16,275.59,0.0,355.16,275.59
TCS_213,Norte,Estados Unidos,Wearables,Físico,Express,2024-08-18,2024-08-22,1,193.72,146.6,0.0,193.72,146.6
